model_id,display_name,provider,curve_profile,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_score,score_lower,score_upper
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,28,0.4843800842769844,0.47093904545036536,0.04235770775001892,0.0023231625226312826,93.89194267240222,79.89194267240222,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,29,0.45326184801538627,0.4964075193871369,0.04769895862259228,0.0026316739748845795,93.36118699937781,79.36118699937781,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,30,0.4225046348141883,0.5208429398778379,0.05367139257811891,0.0029810327298548972,92.79600359123172,78.79600359123172,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,31,0.3923368301671085,0.5439481755809261,0.060338381870225805,0.0033766123817395004,92.19418435534533,78.19418435534533,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,32,0.36296920551961687,0.5654395950358306,0.06776671579991526,0.003824483644637211,91.55315209390305,77.55315209390305,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,33,0.334589441253186,0.5850530899246069,0.07602596680164309,0.00433150202056399,90.86994693053066,76.86994693053066,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,34,0.30735801686526387,0.6025489891727843,0.08518758825622978,0.004905405705722035,90.14123564272099,76.14123564272099,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,35,0.2814056074291439,0.6177157698407996,0.09532369802636538,0.005554924703691103,89.36334722255829,75.36334722255829,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,36,0.2568319913875189,0.6303726023295879,0.1065055041460007,0.006289902136892483,88.53233690550375,74.53233690550375,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,37,0.2337063569140404,0.6403708782508273,0.11880133608939719,0.007121428745735101,87.64407970157887,73.64407970157887,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,38,0.2120688043571053,0.6475949461528115,0.13227425796181155,0.008061991528271641,86.69439314880054,72.69439314880054,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,39,0.19193278644723677,0.6519623161073058,0.1469792600562769,0.00912563738918052,85.67918756087602,71.67918756087602,99.67918756087602
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,40,0.1732882059293266,0.6534235881413468,0.1629600534100214,0.010328152519305191,84.59464041348694,70.59464041348694,98.59464041348694
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,41,0.15610489744545752,0.6519623161073058,0.1802455284515423,0.011687257995694433,83.43738966536685,69.43738966536685,97.43738966536685
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,42,0.14033624949008328,0.6475949461528114,0.19884598260480008,0.01322282175230515,82.20473874189027,68.20473874189027,96.20473874189027
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,43,0.12592276483513243,0.6403708782508274,0.2187492703208902,0.01495708659314999,80.89486369529679,66.89486369529679,94.89486369529679
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,44,0.1127954062828933,0.6303726023295879,0.23991707812079227,0.01691491326672651,79.50701087308202,65.50701087308201,93.50701087308202
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,45,0.10087862273005643,0.6177157698407998,0.2622815706782549,0.019124036750888904,78.04167155953215,64.04167155953215,92.04167155953215
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,46,0.0900929939619518,0.6025489891727843,0.2857426841026162,0.021615332762647654,76.50071888111368,62.500718881113684,90.50071888111368
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,47,0.08035746882220707,0.5850530899246071,0.31016635119907865,0.024423090054107196,74.88749220328623,60.88749220328623,88.88749220328623
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,48,0.07159119944455239,0.5654395950358309,0.33538392329282674,0.02758528222678998,73.20681567686678,59.20681567686679,87.2068156768668
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,49,0.06371499425196536,0.5439481755809263,0.36119299963232976,0.03114383053477846,71.46494076350282,57.464940763502824,85.46494076350282
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,50,0.056652425307973875,0.520842939877838,0.3873597884133949,0.03514484640079327,69.66940749432392,55.66940749432392,83.66940749432392
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,51,0.05033063259747683,0.49640751938713706,0.41362300891441606,0.03963883910097002,67.82882559895499,53.828825598954985,81.82882559895499
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,52,0.04468087027265022,0.4709390454503654,0.43969921400433415,0.044680870272650205,65.95258386764708,51.95258386764707,79.95258386764708
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,53,0.03963883910096999,0.44474124517601443,0.4652892831255387,0.050330632597476894,64.05050330130526,50.05050330130526,78.05050330130527
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,54,0.035144846400793295,0.41811700161459286,0.49008572667663997,0.056652425307973854,62.132455765337944,48.132455765337944,76.13245576533795
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,55,0.031143830534778427,0.3913608042794098,0.5137803709338464,0.06371499425196536,60.20797406522812,46.20797406522812,74.20797406522811
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,56,0.02758528222678991,0.3647515479403184,0.5360719703883392,0.0715911994445525,58.28588094096728,44.28588094096728,72.28588094096729
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,57,0.024423090054107366,0.3385461154655097,0.556673325658176,0.08035746882220701,56.37396318172732,42.37396318172731,70.37396318172732
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,58,0.0216153327626476,0.3129741084905385,0.5753175647848621,0.09009299396195179,54.47871310420322,40.47871310420322,68.47871310420322
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,59,0.019124036750888807,0.2882339801143752,0.5917633604046795,0.10087862273005649,52.60515364044043,38.60515364044043,66.60515364044043
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,60,0.01691491326672656,0.26449069416241733,0.6057989862879629,0.11279540628289318,50.75675612831311,36.75675612831311,64.75675612831311
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,61,0.014957086593149982,0.2418749047943689,0.6172452437773488,0.1259227648351323,48.93545254176968,34.93545254176968,62.935452541769685
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,62,0.013222821752305158,0.22048353516173524,0.6259573935958764,0.1403362494900832,47.141737169373194,33.141737169373194,61.14173716937319
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,63,0.011687257995694367,0.20038154636141092,0.6318262981974373,0.1561048974454574,45.37484722552969,31.374847225529688,59.37484722552969
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,64,0.010328152519305078,0.1816046339279317,0.6347790076234366,0.1732882059293266,43.633007829043805,29.6330078290438,57.633007829043805
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,65,0.009125637389180596,0.164162568540146,0.6347790076234365,0.19193278644723685,41.91372419762037,27.913724197620365,55.913724197620375
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,66,0.008061991528271584,0.14804290591718583,0.6318262981974372,0.21206880435710537,40.2141025785811,26.214102578581098,54.214102578581105
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,67,0.00712142874573507,0.13321482074434798,0.6259573935958765,0.23370635691404038,38.53118107619465,24.531181076194645,52.531181076194656
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,68,0.006289902136892511,0.1196328626982398,0.6172452437773488,0.25683199138751894,36.86225187986272,22.862251879862715,50.86225187986272
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,69,0.005554924703691011,0.1072404815792023,0.605798986287963,0.28140560742914367,35.20515728242453,21.20515728242453,49.20515728242453
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,70,0.004905405705722066,0.09597321702433459,0.5917633604046797,0.3073580168652637,33.55854327696507,19.558543276965068,47.55854327696507
