model_id,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_quality,quality_lower,quality_upper,estimate_label
gpt-5.5,97,0.00016865275398914026,0.0036558308906481374,0.06776671579991511,0.9284088005554476,0.1377787675633504,0.05777876756335039,0.2177787675633504,public-benchmark constrained estimate
gpt-5.5,98,0.00014883848257296606,0.0032277738991663973,0.060338381870226,0.9362850057480346,0.1352491780105905,0.0552491780105905,0.21524917801059051,public-benchmark constrained estimate
gpt-5.5,99,0.0001313517970652489,0.002849680932789589,0.05367139257811904,0.9433475746920261,0.13298350631831354,0.05298350631831354,0.21298350631831353,public-benchmark constrained estimate
gpt-5.5,100,0.00011591934318644359,0.002515754631698064,0.047698958622592325,0.9496693674025232,0.13095751918111528,0.05095751918111528,0.21095751918111527,public-benchmark constrained estimate
gpt-5.4-mini,0,0.9688561694652216,0.02973347203816044,0.0013400466539488735,7.031184266914957e-05,0.849748684371832,0.709748684371832,0.989748684371832,public-benchmark constrained estimate
gpt-5.4-mini,1,0.9648551535992067,0.033547000906775926,0.0015181724841563124,7.967300986103147e-05,0.8480764604419477,0.7080764604419477,0.9880764604419477,public-benchmark constrained estimate
gpt-5.4-mini,2,0.96036116089903,0.037828628074767376,0.0017199306360523377,9.028039015031105e-05,0.8461975809873559,0.7061975809873559,0.9861975809873559,public-benchmark constrained estimate
gpt-5.4-mini,3,0.9553191297273498,0.0426301267327328,0.0019484436851915632,0.00010229985472581484,0.8440887876022817,0.7040887876022817,0.9840887876022817,public-benchmark constrained estimate
gpt-5.4-mini,4,0.9496693674025232,0.0480074700748456,0.002207243179444952,0.00011591934318633098,0.8417248121755376,0.7017248121755376,0.9817248121755376,public-benchmark constrained estimate
gpt-5.4-mini,5,0.9433475746920262,0.05402075133308923,0.0025003221778193124,0.00013135179706526775,0.8390783675073676,0.6990783675073676,0.9790783675073677,public-benchmark constrained estimate
gpt-5.4-mini,6,0.9362850057480347,0.060733961522110406,0.0028321942472820157,0.0001488384825728813,0.8361201899616053,0.6961201899616053,0.9761201899616053,public-benchmark constrained estimate
gpt-5.4-mini,7,0.9284088005554475,0.06821458706281297,0.003207959627750357,0.00016865275398914432,0.8328191487803468,0.6928191487803468,0.9728191487803468,public-benchmark constrained estimate
